stadium,team,league,address
The Hawthorns,West Bromwich Albion,EFL Championship,"Halfords Ln, West Bromwich B71 4LF"
Oakwell,Barnsley,EFL League One,"Grove St, Barnsley S71 1ET"
St Andrew's,Birmingham City,EFL League One,"Cattell Rd, Birmingham B9 4RL"
Bloomfield Road,Blackpool,EFL League One,"Seasiders Way, Blackpool, FY1 6JJ"
Toughsheet Community Stadium,Bolton Wanderers,EFL League One,"Burnden Way, Horwich, Bolton BL6 6JW"
Memorial Stadium,Bristol Rovers,EFL League One,"33 Filton Ave, Bristol BS7 0BF"
Pirelli Stadium,Burton Albion,EFL League One,"Pirelli Stadium, Princess Way, Burton-on-Trent DE13 0AR"
Abbey Stadium,Cambridge United,EFL League One,"Newmarket Rd, Cambridge CB5 8LN"
The Valley,Charlton Athletic,EFL League One,London SE7 8AN
Broadfield Stadium,Crawley Town,EFL League One,"Winfield Wy., Crawley RH11 9RX"
St James Park,Exeter City,EFL League One,"Barrack Rd, Newcastle upon Tyne NE1 4ST"
Kirklees Stadium,Huddersfield Town,EFL League One,"Stadium Way, Huddersfield HD1 6PG"
Brisbane Road,Leyton Orient,EFL League One,"Brisbane Rd, London E10 5NF"
Sincil Bank,Lincoln City,EFL League One,"Sincil Bank, Lincoln LN5 8LD"
Field Mill,Mansfield Town,EFL League One,"Quarry Ln, Mansfield NG18 5DA"
Sixfields Stadium,Northampton Town,EFL League One,"Sixfields Stadium, Northampton NN5 5QA"
London Road,Peterborough United,EFL League One,"London Rd, Peterborough PE2 8AL"
Madejski Stadium,Reading,EFL League One,"Junction 11, M4, Reading RG2 0FL"
New York Stadium,Rotherham United,EFL League One,"New York Way, Rotherham S60 1FJ"
New Meadow,Shrewsbury Town,EFL League One,"Oteley Rd, Shrewsbury SY2 6ST"
Broadhall Way,Stevenage,EFL League One,Stevenage SG2 8RH
Edgeley Park,Stockport County,EFL League One,"16 Hardcastle Rd, Edgeley, Stockport SK3 9DD"
DW Stadium,Wigan Athletic,EFL League One,"15 Loire Dr, Robin Park Rd, Wigan WN5 0UH"
The Racehorse Ground,Wrexham,EFL League One,"Mold Rd, Wrexham LL11 2AH"
Adams Park,Wycombe Wanderers,EFL League One,"Hillbottom Rd, High Wycombe HP12 4HJ"
Crown Ground,Accrington Stanley,EFL League Two,"Livingstone Rd, Accrington BB5 5BX"
Plough Lane,AFC Wimbledon,EFL League Two,"Plough Ln, London SW17 0NR"
Holker Street,Barrow,EFL League Two,Barrow-in-Furness LA14 5UH
Valley Parade,Bradford City,EFL League Two,Bradford BD8 7DY
Hayes Lane,Bromley,EFL League Two,"89 Hayes Ln, Bromley BR2 9EF"
Brunton Park,Carlisle United,EFL League Two,"Warwick Rd, Carlisle CA1 1LL"
Whaddon Road,Cheltenham Town,EFL League Two,"Whaddon Rd, Cheltenham GL52 5NA"
SMH Group Stadium,Chesterfield,EFL League Two,"1866 Sheffield Rd, Chesterfield S41 8NZ"
Colchester Community Stadium,Colchester United,EFL League Two,"United Way, Colchester CO4 5UP"
Gresty Road,Crewe Alexandra,EFL League Two,"Gresty Rd, Crewe CW2 6EB"
Eco-Power Stadium,Doncaster Rovers,EFL League Two,"Stadium Way, Doncaster DN4 5JW"
Highbury Stadium,Fleetwood Town,EFL League Two,"Avenell Rd, Highbury Square, London N5 1FG"
Priestfield Stadium,Gillingham,EFL League Two,"Redfern Ave, Gillingham ME7 4DD"
Blundell Park,Grimsby Town,EFL League Two,Cleethorpes DN35 7PZ
Wetherby Road,Harrogate Town,EFL League Two,"59 Wetherby Rd, Harrogate HG2 7SG"
Stadium MK,Milton Keynes Dons,EFL League Two,"Stadium Way W, Bletchley, Milton Keynes MK1 1ST"
Globe Arena,Morecambe,EFL League Two,"Christie Way, Westgate, Morecambe LA4 4TB"
Rodney Parade,Newport County,EFL League Two,"Rodney Rd, Newport NP19 0UU"
Meadow Lane,Notts County,EFL League Two,"Meadow Ln, Nottingham NG2 3HJ"
Vale Park,Port Vale,EFL League Two,"Hamil Rd, Burslem, Stoke-on-Trent ST6 1AW"
Moor Lane,Salford City,EFL League Two,"Moor Ln, Salford M7 3PZ"
County Ground,Swindon Town,EFL League Two,"County Ground, County Rd, Swindon SN1 2ED"
Prenton Park,Tranmere Rovers,EFL League Two,"Prenton Rd W, Birkenhead CH42 9PY"
Bescot Stadium,Walsall,EFL League Two,"Bescot Cres, Walsall WS1 4SA"
Mill Farm,AFC Fylde,National League,"Mill Farm Sports Village, Coronation Way, Wesham PR4 3JZ"
Recreation Ground,Aldershot Town,National League,Aldershot GU11 1TW
Moss Lane,Altrincham,National League,"Moss Ln, Hale, Altrincham WA15 8AP"
The Hive Stadium,Barnet,National League,"The Hive, Camrose Ave, London HA8 6AG"
York Street,Boston United,National League,"York St, Boston PE21 6JN"
Cressing Road,Braintree,National League,"Cressing Rd, Clockhouse Way, Braintree CM7 3AL"
Victoria Road,Dagenham & Redbridge,National League,"Victoria Rd, Dagenham RM10 7XL"
Ten Acres,Eastleigh,National League,"Stoneham Ln, Eastleigh SO50 9HT"
Stonebridge Road,Ebbsfleet United,National League,"Stonebridge Rd, Northfleet, Gravesend DA11 9GN"
The Shay,FC Halifax Town,National League,"Shaw Hill, Halifax HX1 2YS"
The New Lawn,Forest Green Rovers,National League,"Another Way, Forest Green, Nailsworth, Stroud GL6 0FG"
Gateshead International Stadium,Gateshead,National League,"Neilson Rd, Gateshead NE10 0EF"
Victoria Park,Hartlepool United,National League,"Victoria Park, Clarence Rd, Hartlepool TS24 8BZ"
York Road,Maidenhead,National League,"York Rd, Maidenhead SL6 1SF"
Boundary Park,Oldham Athletic,National League,"Furtherwood Rd, Oldham OL1 2PA"
Spotland,Rochdale,National League,"Willbutts Ln, Rochdale OL11 5DS"
Damson Park,Solihull Moors,National League,"Damson Pkwy, Solihull B92 9EJ"
Roots Hall,Southend United,National League,"Victoria Ave, Westcliff-on-Sea, Southend-on-Sea SS2 6NQ"
Gander Green Lane,Sutton United,National League,"The VBS Community Stadium, Gander Green Ln, Sutton SM1 2EY"
The Lamb Ground,Tamworth,National League,"Kettlebrook Road, Tamworth, Staffordshire, B77 1AA"
Grosvenor Vale,Wealdstone,National League,Ruislip HA4 6JQ
Kingfield Stadium,Woking,National League,"Kingfield Road, Woking, Surrey, GU22 9AA"
Huish Park,Yeovil Town,National League,"Lufton Way, Brympton d'Evercy, Yeovil BA22 8YF"
York Community Stadium,York City,National League,"Kathryn Ave, Monks Cross Dr, Huntington, York YO32 9AF"
